author,fname,lname,gender,pubtitle,date,id,pubtype
"Buontempo,",,Buontempo,NA,Journal of Women and Minorities in Science and Engineering,2017,381,journal
"Riegle-Crumb,",, Riegle-Crumb,NA,Journal of Women and Minorities in Science and Engineering,2017,382,journal
"Patrick,",, Patrick,NA,Journal of Women and Minorities in Science and Engineering,2017,383,journal
"Peng,",, Peng,NA,Journal of Women and Minorities in Science and Engineering,2017,384,journal
"Dahle,",,Dahle,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,814,journal
"Jockers,",, Jockers,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,816,journal
"Aguinis,",,Aguinis,NA,Journal of Applied Psychology,2018,90,journal
"Joo,",, Joo,NA,Journal of Applied Psychology,2018,92,journal
"Dahle,",,Dahle,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,822,journal
"Jockers,",, Jockers,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,823,journal
"Wilson,",, Wilson,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,825,journal
"Maldonado,",,Maldonado,NA,American Society for Engineering Education,2007,224,journal
"Kares,",, Kares,NA,Applied Developmental Science,2018,1105,journal
"Eagleston,",, Eagleston,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,815,journal
"Ramirez,",, Ramirez,NA,American Society for Engineering Education,2007,225,journal
"Vazquez,",, Vazquez,NA,American Society for Engineering Education,2007,226,journal
"Medina-Borja,",, Medina-Borja,NA,American Society for Engineering Education,2007,227,journal
"Scott,",, Scott,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,824,journal
"Ryuk,",, Ryuk,NA,Group Processes and Intergroup Relations,2018,1355,journal
"Cech,",, Cech,NA,Group Processes and Intergroup Relations,2018,1356,journal
"Hallar, A. Gannet",A. Gannet, Hallar,NA,Bulletin of the American Meteorological Society,2013,54,journal
"Drake, Abby Grace",Abby Grace, Drake,NA,BioScience,2018,1062,journal
"Asangba, Abigail",Abigail, Asangba,female,American Journal of Physical Anthropology,2018,860,journal
"Stewart, Abigail",Abigail,Stewart,female,Journal of Women and Minorities in Science and Engineering,2016,394,journal
"Maltese, Adam",Adam,Maltese,male,Science Education,2014,916,journal
"Maltese, Adam",Adam, Maltese,male,Journal of chemical education,2012,32,journal
"Kirn, Adam",Adam, Kirn,male,Social Sciences,2018,989,journal
"Maltese, Adam",Adam,Maltese,male,Science Education,2011,907,journal
"Magerman, Adam",Adam, Magerman,male,Social Cognitive and Affective Neuroscience,2018,1088,journal
"Maltese, Adam",Adam, Maltese,male,Journal of Science Education and Technology,2017,1656,journal
"Moscatelli, Adriana",Adriana, Moscatelli,female,Journal of experimental child psychology,2017,584,journal
"Nishina, Adrienne",Adrienne, Nishina,female,Journal of vocational behavior,2017,603,journal
"Redmond-Sanogo, Adrienne",Adrienne,Redmond-Sanogo,female,School Science and Mathematics,2016,922,journal
"Loyd, Aerika",Aerika, Loyd,NA,Applied Developmental Science,2018,1107,journal
"Mahajan, Agrima",Agrima, Mahajan,NA,Frontiers in Psychology,2017,735,journal
"Purnamasari, Agustina",Agustina, Purnamasari,female,Community College Review,2012,1330,journal
"Lee, Ahlam",Ahlam,Lee,female,Computers & Education,2015,521,journal
"Aliyeva, Aida",Aida, Aliyeva,female,Journal of Science Education and Technology,2017,1694,journal
"Belanger, Aimee",Aimee, Belanger,female,Personality and Social Psychology Review,2017,1448,journal
"Belanger, Aimee",Aimee, Belanger,female,Social Issues and Policy Review,2015,1956,journal
"Belanger, Aimee",Aimee, Belanger,female,Social Issues and Policy Review,2018,1953,journal
"Miyake, Akira",Akira, Miyake,female,Psychology of Women Quarterly,2017,1488,journal
"Erickson, Alan",Alan, Erickson,male,Journal of the American Veterinary Medical Association,2012,338,journal
"Platt, Alana",Alana, Platt,female,ACM Transactions on Computing Education,2017,352,journal
"Ziegler, Albert",Albert, Ziegler,male,Computers & Education,2013,529,journal
"Ziegler, Albert",Albert, Ziegler,male,Annals of the New York Academy of Sciences,2016,1894,journal
"Carter, Alecia",Alecia,Carter,female,PLoS ONE,2018,1183,journal
"Zanin-Yost, Alessia",Alessia,Zanin-Yost,female,New Library World,2012,707,journal
"McBratney, Alex",Alex, McBratney,male,Journal of Soil and Water Conservation,2008,1575,journal
"Dresden, Alexander",Alexander, Dresden,male,Social Sciences,2018,1014,journal
"Sharpe, Alexander",Alexander, Sharpe,male,Computers & Education,2018,523,journal
"Zale, Alexander",Alexander, Zale,male,Bioscience,2015,1074,journal
"Hebert, Alexander",Alexander, Hebert,male,Journal of the American Society for Mass Spectrometry,2017,1703,journal
"Garr-Schultz, Alexandra",Alexandra,Garr-Schultz,female,Social Sciences,2018,1011,journal
"Novakovic, Alexandra",Alexandra, Novakovic,female,Journal of Counseling and Development,2017,956,journal
"Ardissone, Alexandria",Alexandria, Ardissone,female,CBE Life Sciences Education,2016,182,journal
"Hartemink, Alfred",Alfred,Hartemink,male,Journal of Soil and Water Conservation,2008,1574,journal
"Pawley, Alice",Alice, Pawley,female,Studies in Higher Education,2014,1302,journal
"Connors-Kellgren, Alice",Alice,Connors-Kellgren,female,Journal of Science Education and Technology,2016,1681,journal
"Eagly, Alice",Alice,Eagly,female,Perspectives on Psychological Science,2016,1452,journal
"Bouris, Alida",Alida, Bouris,female,Journal of Science Education and Technology,2017,1666,journal
"Wynn, Alison",Alison,Wynn,female,Social Studies of Science,2018,1547,journal
"Blodorn, Alison",Alison, Blodorn,female,Cultural diversity & ethnic minority psychology,2014,77,journal
"Crowe, Alison",Alison, Crowe,female,PLoS ONE,2016,1140,journal
"Mountz, Alison",Alison,Mountz,female,Canadian Geographer / Le Géographe canadien,2016,1895,journal
"Master, Allison",Allison, Master,female,Frontiers in psychology,2015,732,journal
"Young, Allison",Allison, Young,female,Psychology of Women Quarterly,2018,1505,journal
"Kanny, Allison",Allison, Kanny,female,Research in Higher Education,2015,1713,journal
"Master, Allison",Allison,Master,female,Journal of experimental child psychology,2017,582,journal
"Godwin, Allison",Allison, Godwin,female,Journal of Women and Minorities in Science and Engineering,2017,408,journal
"Mann, Allison",Allison,Mann,female,Social science research,2013,685,journal
"Godwin, Allison",Allison, Godwin,female,Social Sciences,2018,988,journal
"Master, Allison",Allison,Master,female,Journal of educational psychology,2016,135,journal
"Master, Allison",Allison,Master,female,International Review of Social Psychology,2014,1867,journal
"Flowers III, Alonzo",Alonzo,Flowers III,male,Journal for Multicultural Education,2016,705,journal
"Flowers, Alonzo",Alonzo, Flowers,male,International Journal of Qualitative Studies in Education,2018,1239,journal
"Hachey, Alyse",Alyse, Hachey,female,Community College Review,2015,1332,journal
"Hachey, Alyse",Alyse, Hachey,female,Computers & Education,2015,531,journal
"Hall, Alysha",Alysha,Hall,female,Journal of vocational behavior,2017,602,journal
"Wilson, Alyson",Alyson, Wilson,female,PLoS ONE,2017,1154,journal
"Cho, Alyssa",Alyssa,Cho,female,Agronomy Journal,2017,217,journal
"Croft, Alyssa",Alyssa, Croft,female,PLoS ONE,2018,1184,journal
"Alegria-Arzaburu, Amaia Ruiz de",Amaia Ruiz de, Alegria-Arzaburu,NA,Palgrave Communications,2018,1596,journal
"Johnston, Amanda",Amanda, Johnston,female,Psychological Science,2010,1459,journal
"Diekman, Amanda",Amanda, Diekman,female,Social Sciences,2017,1006,journal
"Griffith, Amanda",Amanda,Griffith,female,Economics of Education Review,2010,559,journal
"Ruiz, Amanda",Amanda, Ruiz,female,PRIMUS,2018,1852,journal
"Diekman, Amanda",Amanda, Diekman,female,Frontiers in Psychology,2017,729,journal
"Diekman, Amanda",Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445,journal
"Diekman, Amanda",Amanda,Diekman,female,Journal of personality and social psychology,2011,164,journal
"Johnston, Amanda",Amanda, Johnston,female,Journal of personality and social psychology,2011,166,journal
"Pascale, Amanda",Amanda,Pascale,female,NASPA Journal About Women in Higher Education,2018,1293,journal
"Aragon, Amanda",Amanda,Aragon,female,Photogrammetric Engineering & Remote Sensing,2017,214,journal
"Diekman, Amanda",Amanda, Diekman,female,Personality and Social Psychology Bulletin,2017,1433,journal
