to,from
1,1
1,2
2,3
3,4
4,5
4,6
5,7
5,8
5,9
6,10
6,11
6,11
6,11
6,11
7,12
7,13
7,14
8,15
8,16
9,17
9,18
9,19
9,20
10,21
10,22
11,23
11,23
11,23
11,23
11,24
11,24
11,24
11,24
11,25
11,25
11,25
11,25
11,26
12,27
13,28
13,29
14,30
15,31
15,32
15,33
16,34
16,35
16,36
16,37
16,38
17,39
17,33
18,40
18,41
19,42
19,43
19,44
19,45
19,46
20,47
20,48
20,49
21,50
21,51
22,52
22,53
22,54
22,55
23,56
23,57
24,58
24,59
24,60
25,61
25,62
26,63
27,64
27,65
27,66
27,67
27,67
27,67
27,67
28,68
28,69
28,70
28,71
28,72
28,73
28,74
29,75
29,76
29,77
29,77
29,77
29,77
29,78
29,79
29,79
29,79
29,79
30,80
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,81
30,82
30,83
30,84
31,85
31,85
31,85
31,85
31,85
31,85
31,85
31,85
31,85
31,86
31,87
31,87
31,87
31,87
31,88
32,89
32,90
32,91
33,92
33,93
33,94
33,95
33,96
34,97
34,98
34,99
34,100
34,101
34,102
35,103
35,104
36,105
36,106
36,80
36,107
36,108
36,108
36,108
36,108
36,109
36,109
36,109
36,109
36,110
36,111
37,112
37,113
38,114
38,115
38,115
38,115
38,115
38,116
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
38,117
39,118
39,119
39,120
40,121
40,122
40,123
40,124
40,125
41,126
41,127
42,128
42,128
42,128
42,128
42,128
42,128
42,128
42,128
42,128
42,129
42,129
42,129
42,129
42,130
43,131
43,132
43,132
43,132
43,132
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,133
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,134
44,135
45,136
45,137
45,138
45,139
45,140
45,141
46,142
46,143
46,144
46,145
46,146
47,147
47,148
47,148
47,148
47,148
47,149
48,150
48,151
48,152
48,153
48,154
49,155
49,156
49,157
49,158
49,159
49,160
49,161
50,162
50,163
50,164
50,165
50,166
50,166
50,166
50,166
51,167
51,168
51,168
51,168
51,168
51,168
51,168
51,168
51,168
51,168
51,169
51,169
51,169
51,169
51,170
52,171
52,172
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
52,173
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,134
53,174
53,175
53,176
54,177
54,178
54,179
54,180
55,181
55,182
55,183
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
55,184
56,185
56,186
56,187
56,188
56,189
56,190
56,191
56,192
57,193
57,194
57,195
58,196
58,197
59,198
59,199
59,200
59,201
59,202
59,203
59,204
59,205
60,206
60,207
60,208
60,209
60,210
61,211
61,212
61,213
62,214
62,215
62,216
63,217
63,218
63,219
63,220
64,221
64,222
64,223
64,224
65,225
65,226
66,227
66,228
66,229
66,230
66,231
66,232
66,233
67,234
67,235
67,236
68,237
68,238
69,239
69,239
69,239
69,239
69,240
69,241
69,242
69,243
69,244
70,245
70,246
70,247
70,248
70,249
70,250
71,251
72,252
73,253
73,254
74,255
74,256
75,257
75,258
75,259
76,260
76,261
76,262
77,263
77,264
77,265
78,266
78,267
78,268
79,269
79,270
80,271
80,272
81,273
81,274
81,275
82,276
82,277
82,277
82,277
82,277
83,278
83,279
83,280
83,281
83,282
83,283
83,284
84,285
84,286
84,287
85,288
85,289
85,290
86,291
86,292
86,293
86,294
87,295
87,296
88,297
88,298
88,299
88,300
88,301
89,302
89,303
89,304
89,304
89,304
89,304
89,305
89,305
89,305
89,305
89,306
90,307
90,63
90,308
90,308
90,308
90,308
91,309
91,310
92,311
92,312
93,313
94,63
94,314
94,308
94,308
94,308
94,308
95,315
95,316
96,241
96,242
96,239
96,239
96,239
96,239
96,317
96,317
96,317
96,317
96,243
96,318
96,319
97,304
97,304
97,304
97,304
97,302
97,306
97,303
97,305
97,305
97,305
97,305
97,320
98,277
98,277
98,277
98,277
99,321
99,322
100,323
101,324
101,325
101,326
101,326
101,326
101,326
102,327
103,328
103,329
103,330
103,331
103,332
104,333
104,334
105,335
105,336
105,337
106,338
106,339
106,340
107,341
108,342
108,343
108,344
109,345
109,345
109,345
109,345
109,346
109,347
110,348
110,349
111,350
111,351
111,352
111,353
112,354
113,355
113,356
113,357
114,358
114,358
114,358
114,358
114,358
114,358
114,358
114,358
114,358
114,359
115,360
115,361
115,362
115,363
115,364
116,365
116,366
116,367
116,368
117,369
117,370
117,371
117,372
118,373
118,374
118,375
119,376
119,377
120,378
120,379
120,380
121,381
121,382
122,383
122,383
122,383
122,383
122,384
122,385
122,385
122,385
122,385
122,386
122,387
122,388
123,389
124,390
124,391
124,392
124,392
124,392
124,392
125,131
125,132
125,132
125,132
125,132
126,39
126,393
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,394
126,395
127,396
128,397
128,398
128,399
129,400
129,129
129,129
129,129
129,129
129,128
129,128
129,128
129,128
129,128
129,128
129,128
129,128
129,128
129,358
129,358
129,358
129,358
129,358
129,358
129,358
129,358
129,358
129,130
130,401
130,401
130,401
130,401
130,402
130,402
130,402
130,402
131,403
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
131,404
132,405
132,406
132,407
132,407
132,407
132,407
132,408
132,408
132,408
132,408
132,409
132,409
132,409
132,409
133,405
133,406
133,407
133,407
133,407
133,407
133,408
133,408
133,408
133,408
133,409
133,409
133,409
133,409
134,410
134,411
134,412
134,413
134,414
135,415
135,416
135,417
135,418
136,419
136,420
136,420
136,420
136,420
136,421
136,420
136,420
136,420
136,420
136,422
136,423
136,424
136,425
136,426
136,427
136,428
136,429
136,430
136,431
136,432
136,433
136,434
136,435
136,436
136,437
136,438
136,439
136,440
136,441
136,442
136,443
136,444
136,445
136,419
136,446
136,447
136,421
136,446
137,448
138,449
139,450
139,451
140,452
140,453
140,454
141,455
142,456
142,457
142,458
143,459
144,460
144,461
145,462
145,463
146,464
146,465
147,147
147,148
147,148
147,148
147,148
147,466
148,467
148,468
149,469
149,470
149,471
149,472
149,473
149,474
149,475
149,476
149,477
149,478
150,479
150,480
151,481
151,482
151,483
151,484
151,485
151,486
152,487
153,488
153,489
153,490
154,491
154,491
154,491
154,491
154,492
154,493
154,493
154,493
154,493
154,494
154,495
154,495
154,495
154,495
155,496
155,496
155,496
155,496
155,497
155,498
156,499
156,499
156,499
156,499
156,500
156,500
156,500
156,500
156,501
156,501
156,501
156,501
157,320
157,502
157,503
157,504
157,505
157,506
158,507
158,508
158,509
158,510
158,511
158,512
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,513
159,514
160,515
160,516
161,517
162,518
163,519
163,520
163,520
163,520
163,520
163,520
163,520
163,520
163,520
163,520
163,521
163,522
163,522
163,522
163,522
163,522
163,522
163,522
163,522
163,522
163,523
163,523
163,523
163,523
164,524
165,525
166,526
167,527
167,528
168,529
169,530
170,531
170,532
171,533
171,534
171,535
172,536
172,537
173,538
173,539
174,540
174,541
174,542
174,543
175,544
175,545
175,546
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,133
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,134
176,547
176,135
177,548
177,549
178,156
178,550
178,551
178,551
178,551
178,551
179,552
179,553
179,554
179,555
180,556
180,557
181,558
181,559
181,559
181,559
181,559
181,560
181,560
181,560
181,560
181,561
181,562
182,563
182,564
182,565
183,566
183,567
183,568
184,569
184,570
185,571
185,572
186,573
186,574
186,575
186,576
186,577
187,578
187,579
187,580
188,92
188,581
188,582
189,97
189,99
189,583
189,584
189,585
189,586
190,559
190,559
190,559
190,559
190,558
190,587
190,588
190,589
190,590
191,591
191,592
191,593
191,594
192,595
193,596
193,597
194,598
194,599
195,600
195,601
195,602
196,603
196,604
197,605
197,606
198,607
198,608
199,609
199,610
200,611
200,612
200,613
200,614
201,615
201,616
202,617
202,618
203,619
203,620
204,621
204,622
205,623
205,624
205,625
206,626
206,627
207,628
207,629
208,630
208,631
208,631
208,631
208,631
208,632
209,633
209,633
209,633
209,633
209,633
209,633
209,633
209,633
209,633
209,634
209,634
209,634
209,634
209,635
209,635
209,635
209,635
209,636
210,637
210,638
210,639
210,640
211,641
211,642
212,643
212,644
212,645
212,646
213,647
213,647
213,647
213,647
213,647
213,647
213,647
213,647
213,647
213,648
213,648
213,648
213,648
213,648
213,648
213,648
213,648
213,648
213,649
214,650
214,651
215,652
215,653
215,654
215,655
215,656
215,657
215,658
216,121
216,659
217,660
217,661
217,661
217,661
217,661
218,662
219,663
219,664
220,665
220,666
220,667
220,668
221,669
221,670
221,671
221,672
222,673
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,674
223,675
223,676
223,677
224,678
224,679
225,680
225,680
225,680
225,680
225,681
226,682
226,683
226,162
226,684
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,134
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,133
227,135
228,685
228,686
228,687
228,688
228,689
228,690
228,691
229,692
229,85
229,85
229,85
229,85
229,85
229,85
229,85
229,85
229,85
229,693
229,87
229,87
229,87
229,87
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,694
230,695
231,696
231,697
231,697
231,697
231,697
231,697
231,697
231,697
231,697
231,697
231,698
231,698
231,698
231,698
231,698
231,698
231,698
231,698
231,698
232,699
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,513
233,700
233,700
233,700
233,700
233,700
233,700
233,700
233,700
233,700
233,701
234,702
234,703
235,697
235,697
235,697
235,697
235,697
235,697
235,697
235,697
235,697
235,85
235,85
235,85
