author,id.x,position,fname,lname,gender,pubtitle,date,id.y
"A, Patrick Limbach",16,3,Patrick Limbach, A,NA,Journal of chemical education,2014,36
"Abraham-Hilaire, Latecia",324,3,Latecia, Abraham-Hilaire,NA,Social Sciences,2018,997
"Abraham, Danielle",325,5,Danielle, Abraham,female,Social Sciences,2017,1003
"Ackerman, Phillip",47,1,Phillip,Ackerman,male,Journal of educational psychology,2013,149
"Ackerman, Phillip",47,1,Phillip,Ackerman,male,Teachers College Record,2013,498
"Ackerman, Phillip",147,1,Phillip,Ackerman,male,Journal of educational psychology,2013,149
"Ackerman, Phillip",147,1,Phillip,Ackerman,male,Teachers College Record,2013,498
"Ackler, Harold",92,2,Harold, Ackler,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,316
"Adame, Consolación",171,1,Consolación,Adame,NA,Journal of Business Research,2016,568
"Adamo, Shelley",348,1,Shelley,Adamo,female,BioScience,2013,1055
"Adamowicz, Elizabeth",354,1,Elizabeth,Adamowicz,female,FEMS microbiology letters,2017,1078
"Adams, Amanda",374,4,Amanda, Adams,female,PLoS ONE,2017,1145
"Adams, Glenn",598,3,Glenn, Adams,male,Social Psychology of Education,2015,1833
"Adams, Glenn",598,3,Glenn, Adams,male,Cultural diversity & ethnic minority psychology,2014,78
"Adams, Glenn",29,3,Glenn, Adams,male,Social Psychology of Education,2015,1833
"Adams, Glenn",29,3,Glenn, Adams,male,Cultural diversity & ethnic minority psychology,2014,78
"Adams, Renee",21,1,Renee,Adams,female,American Economic Review,2016,51
"Adamuti-Trache, Maria",405,1,Maria,Adamuti-Trache,female,International Journal of Science Education,2014,1247
"Adelman, Robert",366,2,Robert, Adelman,male,Basic & Applied Social Psychology,2016,1109
"Aeschlimann, Belinda",528,2,Belinda, Aeschlimann,female,Empirical Research in Vocational Education and Training,2016,1618
"Afari, Ernest",537,2,Ernest, Afari,male,International Journal of Science and Mathematics Education,2016,1639
"Agbenyega, Emily",157,6,Emily, Agbenyega,female,Contemporary Educational Psychology,2013,541
"Agloro, Ashley C.",378,7,Ashley C., Agloro,NA,PLoS ONE,2018,1166
"Aguar, Karen",19,1,Karen,Aguar,female,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",2017,43
"Aguillon, Stephanie",350,2,Stephanie, Aguillon,female,BioScience,2018,1060
"Aguinis,",32,1,,Aguinis,NA,Journal of Applied Psychology,2018,90
"Ahlqvist, Sheana",482,1,Sheana,Ahlqvist,NA,Psychological science,2013,1463
"Ahmad, Ali",79,1,Ali,Ahmad,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,272
"Ahmed, Awad",149,6,Awad, Ahmed,male,Advances in Radiation Oncology,2018,508
"Aikens, Melissa",56,1,Melissa,Aikens,female,CBE Life Sciences Education,2017,188
"Aitkin, Emma",153,3,Emma, Aitkin,female,Computers & Education,2018,524
"Alegria-Arzaburu, Amaia Ruiz de",520,10,Amaia Ruiz de, Alegria-Arzaburu,NA,Palgrave Communications,2018,1596
"Alexander, Quentin",37,1,Quentin,Alexander,male,Journal of Diversity in Higher Education,2016,114
"Alfred, Mary",256,2,Mary, Alfred,female,Journal of STEM Education : Innovations and Research,2014,800
"Aliyeva, Aida",554,4,Aida, Aliyeva,female,Journal of Science Education and Technology,2017,1694
"Allen, Carrie",419,1,Carrie,Allen,female,Journal of the Learning Sciences,2017,1286
"Aloisio, Kathryn",59,2,Kathryn, Aloisio,female,Cell Biology Education,2017,202
"Amaral, Luís A. Nunes",368,8,Luís A. Nunes, Amaral,NA,PLoS Biology,2016,1124
"Amechi, Mauriell",40,5,Mauriell, Amechi,NA,Journal of Diversity in Higher Education,2014,127
"Amey, Rachel",358,2,Rachel, Amey,female,Social Cognitive and Affective Neuroscience,2018,1087
"Amon, Mary",232,1,Mary,Amon,female,Frontiers in Psychology,2017,750
"Amos, Jennifer",89,5,Jennifer, Amos,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,309
"Amos, Jennifer",89,5,Jennifer, Amos,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,332
"Amos, Jennifer",97,3,Jennifer, Amos,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,309
"Amos, Jennifer",97,3,Jennifer, Amos,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,332
"Ampaw, Frim",304,2,Frim, Ampaw,NA,Journal of Higher Education,2014,1283
"Ampaw, Frim",304,2,Frim, Ampaw,NA,Review of Higher Education,2017,1861
"Ampaw, Frim",304,2,Frim, Ampaw,NA,New Directions for Institutional Research,2011,942
"Ampaw, Frim",416,2,Frim, Ampaw,NA,Journal of Higher Education,2014,1283
"Ampaw, Frim",416,2,Frim, Ampaw,NA,Review of Higher Education,2017,1861
"Ampaw, Frim",416,2,Frim, Ampaw,NA,New Directions for Institutional Research,2011,942
"Ampaw, Frim",607,4,Frim, Ampaw,NA,Journal of Higher Education,2014,1283
"Ampaw, Frim",607,4,Frim, Ampaw,NA,Review of Higher Education,2017,1861
"Ampaw, Frim",607,4,Frim, Ampaw,NA,New Directions for Institutional Research,2011,942
"Anazco, Mayari I.",81,2,Mayari I., Anazco,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,277
"Anderson, Cynthia",212,1,Cynthia,Anderson,female,Advances in Gender Research,2014,687
"Anderson, D.A.",453,6,D.A., Anderson,NA,Group Processes and Intergroup Relations,2018,1362
"Anderson, Lindsey",122,6,Lindsey, Anderson,female,Journal of Women and Minorities in Science and Engineering,2018,404
"Anderson, Lindsey",122,6,Lindsey, Anderson,female,Management Communication Quarterly,2015,1422
"Anderson, Lindsey",469,3,Lindsey, Anderson,female,Journal of Women and Minorities in Science and Engineering,2018,404
"Anderson, Lindsey",469,3,Lindsey, Anderson,female,Management Communication Quarterly,2015,1422
"Andreasen, Rrobin",76,2,Rrobin, Andreasen,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,264
"Andrews, Jane",144,1,Jane,Andrews,female,International Journal of Engineering Education,2016,492
"Angle, Julie",294,2,Julie, Angle,female,School Science and Mathematics,2016,923
"Angoff, Nancy",111,2,Nancy, Angoff,female,Academic Medicine,2018,367
"Anicha, Cali",117,4,Cali, Anicha,female,Journal of Women and Minorities in Science and Engineering,2012,388
"Arabnia, Hamid",19,2,Hamid, Arabnia,male,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",2017,44
"Aragon, Amanda",61,1,Amanda,Aragon,female,Photogrammetric Engineering & Remote Sensing,2017,214
"Archer, Louise",436,1,Louise,Archer,female,American Educational Research Journal,2017,1312
"Archer, Louise",436,1,Louise, Archer,female,Sex Roles,2017,1790
"Archer, Louise",585,2,Louise,Archer,female,American Educational Research Journal,2017,1312
"Archer, Louise",585,2,Louise, Archer,female,Sex Roles,2017,1790
"Ardissone, Alexandria",54,3,Alexandria, Ardissone,female,CBE Life Sciences Education,2016,182
"Arizaga, Jessica",495,2,Jessica, Arizaga,female,Psychology of Women Quarterly,2013,1510
"Arlotta, Paola",136,4,Paola, Arlotta,female,Cell Stem Cell,2015,448
"Arlotta, Paola",136,4,Paola, Arlotta,female,Cell Stem Cell,2015,450
"Arlotta, Paola",136,2,Paola, Arlotta,female,Cell Stem Cell,2015,448
"Arlotta, Paola",136,2,Paola, Arlotta,female,Cell Stem Cell,2015,450
"Armstrong, Mary",43,1,Mary,Armstrong,female,Journal of Diversity in Higher Education,2017,133
"Armstrong, Mary",43,1,Mary,Armstrong,female,Journal of Women and Minorities in Science and Engineering,2015,409
"Armstrong, Mary",125,1,Mary,Armstrong,female,Journal of Diversity in Higher Education,2017,133
"Armstrong, Mary",125,1,Mary,Armstrong,female,Journal of Women and Minorities in Science and Engineering,2015,409
"Arnold, Michael",60,1,Michael,Arnold,male,Horttechnology,2014,209
"Asangba, Abigail",277,4,Abigail, Asangba,female,American Journal of Physical Anthropology,2018,860
"Ash, Ronald",174,2,Ronald, Ash,male,Journal of Economic Psychology,2008,576
"Ashby, Jeffrey",33,5,Jeffrey, Ashby,male,Journal of Counseling Psychology,2015,97
"Ashford, Shetay",553,1,Shetay,Ashford,NA,Journal of Science Education and Technology,2016,1686
"Astorne-Figari, Carmen",160,1,Carmen,Astorne-Figari,female,Economics Letters,2018,550
"Austin, Ann",382,2,Ann, Austin,female,Change,2015,1192
"Avallone, Linnea",22,1,Linnea,Avallone,female,Bulletin of the American Meteorological Society,2013,53
"Aveni, Doreen",94,2,Doreen, Aveni,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,319
"Awad, Germine",464,3,Germine, Awad,NA,Journal of Career Development,2017,1403
"Bachman, Tina",554,2,Tina, Bachman,female,Journal of Science Education and Technology,2017,1692
"Backus, Faedra",463,9,Faedra, Backus,NA,Journal of Career Development,2013,1398
"Badini, Giovani",378,8,Giovani, Badini,male,PLoS ONE,2018,1167
"Bagde, Surendrakumar",20,1,Surendrakumar,Bagde,NA,American Economic Review,2016,48
"Bahrim, Cristian",546,2,Cristian, Bahrim,male,Journal of Science Education and Technology,2016,1668
"Bailey, Margaret",96,2,Margaret, Bailey,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,245
"Bailey, Margaret",96,2,Margaret, Bailey,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,324
"Bailey, Margaret",69,4,Margaret, Bailey,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,245
"Bailey, Margaret",69,4,Margaret, Bailey,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2015,324
"Baird, Chardie",266,1,Chardie,Baird,NA,IEEE Instrumentation and Measurement Magazine,2018,826
"Bairley, Maura",186,3,Maura, Bairley,female,Journal of Vocational Behavior,2018,614
"Baker, Kelly",296,1,Kelly,Baker,female,Women in Higher Education,2016,926
"Baker, Rachel",81,3,Rachel, Baker,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,278
"Ball, Jacqueline",460,3,Jacqueline, Ball,female,Journal of Career Assessment,2012,1386
"Ballen, Cissy",350,1,Cissy,Ballen,NA,BioScience,2018,1059
"Ballen, Cissy",350,1,Cissy,Ballen,NA,PLoS ONE,2017,1133
"Ballen, Cissy",350,1,Cissy, Ballen,NA,PLoS ONE,2018,1158
"Ballen, Cissy",372,1,Cissy,Ballen,NA,BioScience,2018,1059
"Ballen, Cissy",372,1,Cissy,Ballen,NA,PLoS ONE,2017,1133
"Ballen, Cissy",372,1,Cissy, Ballen,NA,PLoS ONE,2018,1158
"Ballen, Cissy",377,2,Cissy,Ballen,NA,BioScience,2018,1059
"Ballen, Cissy",377,2,Cissy,Ballen,NA,PLoS ONE,2017,1133
"Ballen, Cissy",377,2,Cissy, Ballen,NA,PLoS ONE,2018,1158
"Bamberger, Yael",549,1,Yael,Bamberger,male,Journal of Science Education and Technology,2014,1679
"Banchefsky, Sarah",575,1,Sarah, Banchefsky,female,Educational Psychology,2018,1225
"Banchefsky, Sarah",575,1,Sarah,Banchefsky,female,Sex Roles,2016,1751
"Banchefsky, Sarah",575,1,Sarah,Banchefsky,female,Social Sciences,2018,1007
"Banchefsky, Sarah",394,2,Sarah, Banchefsky,female,Educational Psychology,2018,1225
"Banchefsky, Sarah",394,2,Sarah,Banchefsky,female,Sex Roles,2016,1751
"Banchefsky, Sarah",394,2,Sarah,Banchefsky,female,Social Sciences,2018,1007
"Banchefsky, Sarah",327,1,Sarah, Banchefsky,female,Educational Psychology,2018,1225
"Banchefsky, Sarah",327,1,Sarah,Banchefsky,female,Sex Roles,2016,1751
"Banchefsky, Sarah",327,1,Sarah,Banchefsky,female,Social Sciences,2018,1007
"Banda, Rosa",402,1,Rosa,Banda,female,International Journal of Qualitative Studies in Education,2018,1238
"Banda, Rosa",402,1,Rosa, Banda,female,Journal for Multicultural Education,2016,706
"Banda, Rosa",217,2,Rosa,Banda,female,International Journal of Qualitative Studies in Education,2018,1238
"Banda, Rosa",217,2,Rosa, Banda,female,Journal for Multicultural Education,2016,706
"Barabino, Gilda",526,2,Gilda, Barabino,female,Annals of Biomedical Engineering,2010,1612
"Bargmann, Cori",136,5,Cori, Bargmann,female,Cell Stem Cell,2015,451
"Barker, Susan",196,2,Susan, Barker,female,Library & Information Science Research,2009,648
"Barnes, M. Elizabeth",378,9,M. Elizabeth, Barnes,NA,PLoS ONE,2018,1168
"Barnes, Rebecca",374,3,Rebecca, Barnes,female,PLoS ONE,2017,1144
"Barnett, Michael",463,2,Michael, Barnett,male,Journal of Career Development,2013,1391
"Barnett, Mike",551,4,Mike, Barnett,male,Journal of Science Education and Technology,2016,1684
"Barnett, Susan",228,4,Susan, Barnett,female,Frontiers in Psychology,2017,737
"Barth, Joan",580,1,Joan, Barth,male,Journal of vocational behavior,2015,609
"Barth, Joan",580,1,Joan,Barth,male,Sex Roles,2017,1771
"Barth, Joan",580,1,Joan,Barth,male,Sex Roles,2016,1795
"Barth, Joan",580,1,Joan,Barth,male,Sex Roles,2015,1812
"Barth, Joan",591,1,Joan, Barth,male,Journal of vocational behavior,2015,609
"Barth, Joan",591,1,Joan,Barth,male,Sex Roles,2017,1771
"Barth, Joan",591,1,Joan,Barth,male,Sex Roles,2016,1795
"Barth, Joan",591,1,Joan,Barth,male,Sex Roles,2015,1812
"Barth, Joan",184,2,Joan, Barth,male,Journal of vocational behavior,2015,609
"Barth, Joan",184,2,Joan,Barth,male,Sex Roles,2017,1771
"Barth, Joan",184,2,Joan,Barth,male,Sex Roles,2016,1795
"Barth, Joan",184,2,Joan,Barth,male,Sex Roles,2015,1812
"Barth, Joan",586,1,Joan, Barth,male,Journal of vocational behavior,2015,609
"Barth, Joan",586,1,Joan,Barth,male,Sex Roles,2017,1771
"Barth, Joan",586,1,Joan,Barth,male,Sex Roles,2016,1795
"Barth, Joan",586,1,Joan,Barth,male,Sex Roles,2015,1812
"Barthelemy, Ramón",27,3,Ramón, Barthelemy,NA,Physical Review Physics Education Research,2016,67
"Bartosh, Travis",121,2,Travis, Bartosh,male,Journal of Women and Minorities in Science and Engineering,2015,398
"Bates, Rebecca",115,2,Rebecca, Bates,female,Journal of Women and Minorities in Science and Engineering,2015,377
"Bathgate, Meghan",406,2,Meghan, Bathgate,female,International Journal of Science Education,2018,1250
