author,fname,lname,gender,pubtitle,date,id
"Buontempo,",,Buontempo,NA,Journal of Women and Minorities in Science and Engineering,2017,381
"Riegle-Crumb,",, Riegle-Crumb,NA,Journal of Women and Minorities in Science and Engineering,2017,382
"Patrick,",, Patrick,NA,Journal of Women and Minorities in Science and Engineering,2017,383
"Peng,",, Peng,NA,Journal of Women and Minorities in Science and Engineering,2017,384
"Dahle,",,Dahle,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,814
"Jockers,",, Jockers,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,816
"Aguinis,",,Aguinis,NA,Journal of Applied Psychology,2018,90
"Joo,",, Joo,NA,Journal of Applied Psychology,2018,92
"Dahle,",,Dahle,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,822
"Jockers,",, Jockers,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,823
"Wilson,",, Wilson,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,825
"Maldonado,",,Maldonado,NA,American Society for Engineering Education,2007,224
"Kares,",, Kares,NA,Applied Developmental Science,2018,1105
"Schilling,",,Schilling,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,313
"Pinnell,",, Pinnell,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,314
"Eagleston,",, Eagleston,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,815
"Ramirez,",, Ramirez,NA,American Society for Engineering Education,2007,225
"Vazquez,",, Vazquez,NA,American Society for Engineering Education,2007,226
"Medina-Borja,",, Medina-Borja,NA,American Society for Engineering Education,2007,227
"Scott,",, Scott,NA,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,824
"Bugallo,",, Bugallo,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,290
"Ryuk,",, Ryuk,NA,Group Processes and Intergroup Relations,2018,1355
"Cech,",, Cech,NA,Group Processes and Intergroup Relations,2018,1356
"Hallar, A. Gannet",A. Gannet, Hallar,NA,Bulletin of the American Meteorological Society,2013,54
"Kelly, A.M.",A.M., Kelly,NA,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,289
"Drake, Abby Grace",Abby Grace, Drake,NA,BioScience,2018,1062
"Asangba, Abigail",Abigail, Asangba,female,American Journal of Physical Anthropology,2018,860
"Stewart, Abigail",Abigail,Stewart,female,Journal of Women and Minorities in Science and Engineering,2016,394
"Maltese, Adam",Adam,Maltese,male,Science Education,2014,916
"Maltese, Adam",Adam, Maltese,male,Journal of chemical education,2012,32
"Kirn, Adam",Adam, Kirn,male,Social Sciences,2018,989
"Maltese, Adam",Adam,Maltese,male,Science Education,2011,907
"Magerman, Adam",Adam, Magerman,male,Social Cognitive and Affective Neuroscience,2018,1088
"Maltese, Adam",Adam, Maltese,male,Journal of Science Education and Technology,2017,1656
"Moscatelli, Adriana",Adriana, Moscatelli,female,Journal of experimental child psychology,2017,584
"Nishina, Adrienne",Adrienne, Nishina,female,Journal of vocational behavior,2017,603
"Redmond-Sanogo, Adrienne",Adrienne,Redmond-Sanogo,female,School Science and Mathematics,2016,922
"Loyd, Aerika",Aerika, Loyd,NA,Applied Developmental Science,2018,1107
"Mahajan, Agrima",Agrima, Mahajan,NA,Frontiers in Psychology,2017,735
"Purnamasari, Agustina",Agustina, Purnamasari,female,Community College Review,2012,1330
"Lee, Ahlam",Ahlam,Lee,female,Computers & Education,2015,521
"Aliyeva, Aida",Aida, Aliyeva,female,Journal of Science Education and Technology,2017,1694
"Belanger, Aimee",Aimee, Belanger,female,Personality and Social Psychology Review,2017,1448
"Cloutier, Aimee",Aimee,Cloutier,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,281
"Belanger, Aimee",Aimee, Belanger,female,Social Issues and Policy Review,2015,1956
"Belanger, Aimee",Aimee, Belanger,female,Social Issues and Policy Review,2018,1953
"Miyake, Akira",Akira, Miyake,female,Psychology of Women Quarterly,2017,1488
"Erickson, Alan",Alan, Erickson,male,Journal of the American Veterinary Medical Association,2012,338
"Platt, Alana",Alana, Platt,female,ACM Transactions on Computing Education,2017,352
"Ziegler, Albert",Albert, Ziegler,male,Computers & Education,2013,529
"Ziegler, Albert",Albert, Ziegler,male,Annals of the New York Academy of Sciences,2016,1894
"Carter, Alecia",Alecia,Carter,female,PLoS ONE,2018,1183
"Zanin-Yost, Alessia",Alessia,Zanin-Yost,female,New Library World,2012,707
"McBratney, Alex",Alex, McBratney,male,Journal of Soil and Water Conservation,2008,1575
"Dresden, Alexander",Alexander, Dresden,male,Social Sciences,2018,1014
"Sharpe, Alexander",Alexander, Sharpe,male,Computers & Education,2018,523
"Zale, Alexander",Alexander, Zale,male,Bioscience,2015,1074
"Hebert, Alexander",Alexander, Hebert,male,Journal of the American Society for Mass Spectrometry,2017,1703
"Garr-Schultz, Alexandra",Alexandra,Garr-Schultz,female,Social Sciences,2018,1011
"Novakovic, Alexandra",Alexandra, Novakovic,female,Journal of Counseling and Development,2017,956
"Ardissone, Alexandria",Alexandria, Ardissone,female,CBE Life Sciences Education,2016,182
"Hartemink, Alfred",Alfred,Hartemink,male,Journal of Soil and Water Conservation,2008,1574
"Ahmad, Ali",Ali,Ahmad,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,272
"Pawley, Alice",Alice, Pawley,female,Studies in Higher Education,2014,1302
"Connors-Kellgren, Alice",Alice,Connors-Kellgren,female,Journal of Science Education and Technology,2016,1681
"Eagly, Alice",Alice,Eagly,female,Perspectives on Psychological Science,2016,1452
"Bouris, Alida",Alida, Bouris,female,Journal of Science Education and Technology,2017,1666
"Wynn, Alison",Alison,Wynn,female,Social Studies of Science,2018,1547
"Blodorn, Alison",Alison, Blodorn,female,Cultural diversity & ethnic minority psychology,2014,77
"Crowe, Alison",Alison, Crowe,female,PLoS ONE,2016,1140
"Mountz, Alison",Alison,Mountz,female,Canadian Geographer / Le Géographe canadien,2016,1895
"Master, Allison",Allison, Master,female,Frontiers in psychology,2015,732
"Young, Allison",Allison, Young,female,Psychology of Women Quarterly,2018,1505
"Kanny, Allison",Allison, Kanny,female,Research in Higher Education,2015,1713
"Master, Allison",Allison,Master,female,Journal of experimental child psychology,2017,582
"Godwin, Allison",Allison, Godwin,female,Journal of Women and Minorities in Science and Engineering,2017,408
"Mann, Allison",Allison,Mann,female,Social science research,2013,685
"Godwin, Allison",Allison, Godwin,female,Social Sciences,2018,988
"Master, Allison",Allison,Master,female,Journal of educational psychology,2016,135
"Webster-Giddings, Allison",Allison,Webster-Giddings,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,294
"Master, Allison",Allison,Master,female,International Review of Social Psychology,2014,1867
"Flowers III, Alonzo",Alonzo,Flowers III,male,Journal for Multicultural Education,2016,705
"Flowers, Alonzo",Alonzo, Flowers,male,International Journal of Qualitative Studies in Education,2018,1239
"Hachey, Alyse",Alyse, Hachey,female,Community College Review,2015,1332
"Hachey, Alyse",Alyse, Hachey,female,Computers & Education,2015,531
"Hall, Alysha",Alysha,Hall,female,Journal of vocational behavior,2017,602
"Wilson, Alyson",Alyson, Wilson,female,PLoS ONE,2017,1154
"Cho, Alyssa",Alyssa,Cho,female,Agronomy Journal,2017,217
"Croft, Alyssa",Alyssa, Croft,female,PLoS ONE,2018,1184
"Alegria-Arzaburu, Amaia Ruiz de",Amaia Ruiz de, Alegria-Arzaburu,NA,Palgrave Communications,2018,1596
"Johnston, Amanda",Amanda, Johnston,female,Psychological Science,2010,1459
"Diekman, Amanda",Amanda, Diekman,female,Social Sciences,2017,1006
"Griffith, Amanda",Amanda,Griffith,female,Economics of Education Review,2010,559
"Ruiz, Amanda",Amanda, Ruiz,female,PRIMUS,2018,1852
"Diekman, Amanda",Amanda, Diekman,female,Frontiers in Psychology,2017,729
"Diekman, Amanda",Amanda,Diekman,female,Personality and Social Psychology Review,2017,1445
