id.x,author,fname,lname,gender,pubtitle,date,id.y
1,"O'Donnell, Christine",Christine,O'Donnell,female,AIP Conference Proceedings,2015,1
2,"Cunningham, Beth",Beth, Cunningham,female,AIP Conference Proceedings,2015,2
3,"Purcell, Bernice M.",NA,NA,NA,NA,NA,NA
4,"Neilsen, Tracianne B.",NA,NA,NA,NA,NA,NA
5,"Hoffman, Sarah F.",NA,NA,NA,NA,NA,NA
6,"Friedman, Hershey H.",NA,NA,NA,NA,NA,NA
7,"Williams, Joan C.",NA,NA,NA,NA,NA,NA
8,"Phillips, Katherine W.",NA,NA,NA,NA,NA,NA
9,"Hall, Erika V.",NA,NA,NA,NA,NA,NA
10,"Feeney, Mary K.",NA,NA,NA,NA,NA,NA
11,"Bernal, Margarita",Margarita, Bernal,female,Scientometrics,2010,11
11,"Bernal, Margarita",Margarita, Bernal,female,Science & Public Policy,2014,1084
12,"Chumbley, Steven B.",NA,NA,NA,NA,NA,NA
13,"Haynes, J. Chris",J. Chris, Haynes,NA,Journal of Agricultural Education,2015,13
14,"Stofer, Kathryn A.",NA,NA,NA,NA,NA,NA
15,"Enns, Kellie J.",NA,NA,NA,NA,NA,NA
16,"Martin, Michael J.",NA,NA,NA,NA,NA,NA
17,"Kleihauer, Sarah",Sarah,Kleihauer,female,Journal of Agricultural Education,2013,17
18,"Stephens, Carrie",Carrie, Stephens,female,Journal of Agricultural Education,2013,18
19,"Hart, William",William, Hart,male,Journal of Agricultural Education,2013,19
20,"Stripling, Christopher",Christopher, Stripling,male,Journal of Agricultural Education,2013,20
21,"Foor, Ryan M.",NA,NA,NA,NA,NA,NA
22,"Cano, Jamie",Jamie, Cano,female,Journal of Agricultural Education,2011,22
23,"Leslie, Sarah-Jane",Sarah-Jane,Leslie,NA,Science,2014,23
23,"Leslie, Sarah-Jane",Sarah-Jane, Leslie,NA,Frontiers in Psychology,2015,775
24,"Cimpian, Andrei",Andrei, Cimpian,male,Science,2014,24
24,"Cimpian, Andrei",Andrei, Cimpian,male,Frontiers in Psychology,2015,774
25,"Meyer, Meredith",Meredith,Meyer,female,Frontiers in Psychology,2015,773
25,"Meyer, Meredith",Meredith, Meyer,female,Science,2014,25
26,"Freeland, Edward",Edward, Freeland,male,Science,2014,26
27,"Mervis, Jeffrey",Jeffrey,Mervis,male,Science,2011,27
28,"Rosser, Sue V.",NA,NA,NA,NA,NA,NA
29,"Taylor, Mark Z.",NA,NA,NA,NA,NA,NA
30,"Colatrella, Carol",Carol,Colatrella,female,Academe,2014,30
31,"Harsh, Joseph A.",NA,NA,NA,NA,NA,NA
32,"Maltese, Adam V.",NA,NA,NA,NA,NA,NA
33,"Tai, Robert H.",NA,NA,NA,NA,NA,NA
34,"Wilson, Zakiya S.",NA,NA,NA,NA,NA,NA
35,"McGuire, Saundra Y.",NA,NA,NA,NA,NA,NA
36,"A, Patrick Limbach",Patrick Limbach, A,NA,Journal of chemical education,2014,36
37,"Marzilli, Luigi G.",NA,NA,NA,NA,NA,NA
38,"Warner, Isiah M.",NA,NA,NA,NA,NA,NA
39,"Dabney, Katherine P.",NA,NA,NA,NA,NA,NA
40,"Shedlosky-Shoemaker, Randi",Randi,Shedlosky-Shoemaker,female,Journal of chemical education,2015,41
41,"Fautch, Jessica M.",NA,NA,NA,NA,NA,NA
42,"Aguar, Karen",Karen,Aguar,female,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",2017,43
43,"Arabnia, Hamid R.",NA,NA,NA,NA,NA,NA
44,"Gutierrez, Juan B.",NA,NA,NA,NA,NA,NA
45,"Potter, Walter D.",NA,NA,NA,NA,NA,NA
46,"Taha, Thiab R.",NA,NA,NA,NA,NA,NA
47,"Bagde, Surendrakumar",Surendrakumar,Bagde,NA,American Economic Review,2016,48
48,"Epple, Dennis",Dennis, Epple,male,American Economic Review,2016,49
49,"Taylor, Lowell",Lowell, Taylor,male,American Economic Review,2016,50
50,"Adams, Renee B.",NA,NA,NA,NA,NA,NA
51,"Kirchmaier, Tom",Tom, Kirchmaier,male,American Economic Review,2016,52
52,"Avallone, Linnea M.",NA,NA,NA,NA,NA,NA
53,"Hallar, A. Gannet",A. Gannet, Hallar,NA,Bulletin of the American Meteorological Society,2013,54
54,"Thiry, Heather",Heather, Thiry,female,Bulletin of the American Meteorological Society,2013,55
55,"Edwards, Laura M.",NA,NA,NA,NA,NA,NA
56,"Eddy, Sarah L.",NA,NA,NA,NA,NA,NA
57,"Brownell, Sara E.",NA,NA,NA,NA,NA,NA
58,"Koul, Ravinder",Ravinder,Koul,NA,Physical Review Physics Education Research,2016,59
59,"Lerdpornkulrat, Thanita",Thanita, Lerdpornkulrat,NA,Physical Review Physics Education Research,2016,60
60,"Poondej, Chanut",Chanut, Poondej,NA,Physical Review Physics Education Research,2016,61
61,"Nissen, Jayson M.",NA,NA,NA,NA,NA,NA
62,"Shemwell, Jonathan T.",NA,NA,NA,NA,NA,NA
63,"Kelly, Angela M.",NA,NA,NA,NA,NA,NA
64,"Sax, Linda J.",NA,NA,NA,NA,NA,NA
65,"Lehman, Kathleen J.",NA,NA,NA,NA,NA,NA
66,"Barthelemy, Ramón S.",NA,NA,NA,NA,NA,NA
67,"Lim, Gloria",Gloria, Lim,female,Physical Review Physics Education Research,2016,68
67,"Lim, Gloria",Gloria, Lim,female,Journal of Higher Education,2017,1265
68,"Berk, Louis J.",NA,NA,NA,NA,NA,NA
69,"Muret-Wagstaff, Sharon L.",NA,NA,NA,NA,NA,NA
70,"Goyal, Riya",Riya, Goyal,female,Advances in Physiology Education,2014,71
71,"Joyal, Julie A.",NA,NA,NA,NA,NA,NA
72,"Gordon, James A.",NA,NA,NA,NA,NA,NA
73,"Faux, Russell",Russell, Faux,male,Advances in Physiology Education,2014,74
74,"Oriol, Nancy E.",NA,NA,NA,NA,NA,NA
