author,fname,lastn,gender,pubtitle,date,id,pubtype
"Hurst, A.",A.,Hurst,NA,Computer Science Education,2010,1652,journal
"Hallar, A. Gannet",A. Gannet,Hallar,NA,Bulletin of the American Meteorological Society,2013,510,journal
"Drake, Abby Grace",Abby Grace,Drake,NA,BioScience,2018,346,journal
"Asangba, Abigail",Abigail,Asangba,female,American Journal of Physical Anthropology,2018,48,journal
"Stewart, Abigail",Abigail,Stewart,female,Journal of Women and Minorities in Science and Engineering,2016,1236,journal
"Maltese, Adam",Adam,Maltese,male,Journal of Science Education and Technology,2017,1720,journal
"Magerman, Adam",Adam,Magerman,male,Social Cognitive and Affective Neuroscience,2018,1717,journal
"Maltese, Adam",Adam,Maltese,male,Science Education,2011,1722,journal
"Maltese, Adam",Adam,Maltese,male,Journal of chemical education,2012,1719,journal
"Maltese, Adam",Adam,Maltese,male,Science Education,2014,1721,journal
"Kirn, Adam",Adam,Kirn,male,Social Sciences,2018,1670,journal
"Moscatelli, Adriana",Adriana,Moscatelli,female,Journal of experimental child psychology,2017,900,journal
"Redmond-Sanogo, Adrienne",Adrienne,Redmond-Sanogo,female,School Science and Mathematics,2016,1050,journal
"Nishina, Adrienne",Adrienne,Nishina,female,Journal of vocational behavior,2017,931,journal
"Loyd, Aerika",Aerika,Loyd,NA,Applied Developmental Science,2018,767,journal
"Mahajan, Agrima",Agrima,Mahajan,NA,Frontiers in Psychology,2017,785,journal
"Purnamasari, Agustina",Agustina,Purnamasari,female,Community College Review,2012,1033,journal
"Lee, Ahlam",Ahlam,Lee,female,Computers & Education,2015,720,journal
"Aliyeva, Aida",Aida,Aliyeva,female,Journal of Science Education and Technology,2017,19,journal
"Belanger, Aimee",Aimee,Belanger,female,Personality and Social Psychology Review,2017,95,journal
"Belanger, Aimee",Aimee,Belanger,female,Social Issues and Policy Review,2015,96,journal
"Belanger, Aimee",Aimee,Belanger,female,Social Issues and Policy Review,2018,97,journal
"Miyake, Akira",Akira,Miyake,female,Psychology of Women Quarterly,2017,881,journal
"Erickson, Alan",Alan,Erickson,male,Journal of the American Veterinary Medical Association,2012,1569,journal
"Platt, Alana",Alana,Platt,female,ACM Transactions on Computing Education,2017,1016,journal
"Ziegler, Albert",Albert,Ziegler,male,Computers & Education,2013,1937,journal
"Ziegler, Albert",Albert,Ziegler,male,Annals of the New York Academy of Sciences,2016,1936,journal
"Carter, Alecia",Alecia,Carter,female,PLoS ONE,2018,202,journal
"Zanin-Yost, Alessia",Alessia,Zanin-Yost,female,New Library World,2012,1427,journal
"McBratney, Alex",Alex,McBratney,male,Journal of Soil and Water Conservation,2008,1732,journal
"Sharpe, Alexander",Alexander,Sharpe,male,Computers & Education,2018,1840,journal
"Hebert, Alexander",Alexander,Hebert,male,Journal of the American Society for Mass Spectrometry,2017,1633,journal
"Dresden, Alexander",Alexander,Dresden,male,Social Sciences,2018,1552,journal
"Zale, Alexander",Alexander,Zale,male,Bioscience,2015,1933,journal
"Garr-Schultz, Alexandra",Alexandra,Garr-Schultz,female,Social Sciences,2018,438,journal
"Medina-Borja, Alexandra",Alexandra,Medina-Borja,female,American Society for Engineering Education,2007,846,journal
"Novakovic, Alexandra",Alexandra,Novakovic,female,Journal of Counseling and Development,2017,936,journal
"Ardissone, Alexandria",Alexandria,Ardissone,female,CBE Life Sciences Education,2016,42,journal
"Hartemink, Alfred",Alfred,Hartemink,male,Journal of Soil and Water Conservation,2008,1630,journal
"Connors-Kellgren, Alice",Alice,Connors-Kellgren,female,Journal of Science Education and Technology,2016,257,journal
"Pawley, Alice",Alice,Pawley,female,Studies in Higher Education,2014,989,journal
"Eagly, Alice",Alice,Eagly,female,Perspectives on Psychological Science,2016,356,journal
"Scott, Alicia",Alicia,Scott,female,2017 IEEE Women in Engineering (WIE) Forum USA East,2018,1155,journal
"Bouris, Alida",Alida,Bouris,female,Journal of Science Education and Technology,2017,147,journal
"Wynn, Alison",Alison,Wynn,female,Social Studies of Science,2018,1395,journal
"Mountz, Alison",Alison,Mountz,female,Canadian Geographer / Le Geographe Canadien,2016,905,journal
"Crowe, Alison",Alison,Crowe,female,PLoS ONE,2016,286,journal
"Blodorn, Alison",Alison,Blodorn,female,Cultural diversity & ethnic minority psychology,2014,134,journal
"Kanny, Allison",Allison,Kanny,female,Research in Higher Education,2015,651,journal
"Master, Allison",Allison,Master,female,International Review of Social Psychology,2014,813,journal
"Godwin, Allison",Allison,Godwin,female,Social Sciences,2018,469,journal
"Master, Allison",Allison,Master,female,Journal of educational psychology,2016,814,journal
"Master, Allison",Allison,Master,female,Frontiers in psychology,2015,812,journal
"Master, Allison",Allison,Master,female,Journal of experimental child psychology,2017,815,journal
"Godwin, Allison",Allison,Godwin,female,Journal of Women and Minorities in Science and Engineering,2017,468,journal
"Young, Allison",Allison,Young,female,Psychology of Women Quarterly,2018,1416,journal
"Mann, Allison",Allison,Mann,female,Social science research,2013,797,journal
"Flowers III, Alonzo",Alonzo,Flowers III,male,Journal for Multicultural Education,2016,1578,journal
"Flowers, Alonzo",Alonzo,Flowers,male,International Journal of Qualitative Studies in Education,2018,1579,journal
"Hachey, Alyse",Alyse,Hachey,female,Community College Review,2015,504,journal
"Hachey, Alyse",Alyse,Hachey,female,Computers & Education,2015,505,journal
"Hall, Alysha",Alysha,Hall,female,Journal of vocational behavior,2017,508,journal
"Wilson, Alyson",Alyson,Wilson,female,PLoS ONE,2017,1371,journal
"Croft, Alyssa",Alyssa,Croft,female,PLoS ONE,2018,279,journal
"Cho, Alyssa",Alyssa,Cho,female,Agronomy Journal,2017,236,journal
"Alegria-Arzaburu, Amaia Ruiz de",Amaia Ruiz de,Alegria-Arzaburu,NA,Palgrave Communications,2018,17,journal
"Diekman, Amanda",Amanda,Diekman,female,Social Issues and Policy Review,2015,332,journal
"Johnston, Amanda",Amanda,Johnston,female,Psychological Science,2010,628,journal
"Diekman, Amanda",Amanda,Diekman,female,Personality and Social Psychology Bulletin,2017,329,journal
"Diekman, Amanda",Amanda,Diekman,female,Psychological Science,2010,331,journal
"Montoya, Amanda",Amanda,Montoya,female,Psychological bulletin,2017,887,journal
"Diekman, Amanda",Amanda,Diekman,female,Frontiers in Psychology,2017,327,journal
"Ruiz, Amanda",Amanda,Ruiz,female,PRIMUS,2018,1104,journal
"Diekman, Amanda",Amanda,Diekman,female,Personality and Social Psychology Review,2017,330,journal
"Diekman, Amanda",Amanda,Diekman,female,Journal of personality and social psychology,2011,328,journal
"Adams, Amanda",Amanda,Adams,female,PLoS ONE,2017,6,journal
"Diekman, Amanda",Amanda,Diekman,female,Social Sciences,2017,334,journal
"Johnston, Amanda",Amanda,Johnston,female,Journal of personality and social psychology,2011,627,journal
"Griffith, Amanda",Amanda,Griffith,female,Economics of Education Review,2010,487,journal
"Aragon, Amanda",Amanda,Aragon,female,Photogrammetric Engineering & Remote Sensing,2017,39,journal
"Diekman, Amanda",Amanda,Diekman,female,Social Issues and Policy Review,2018,333,journal
"Pascale, Amanda",Amanda,Pascale,female,NASPA Journal About Women in Higher Education,2018,983,journal
"Hroch, Amber",Amber,Hroch,female,Research in Higher Education,2016,568,journal
"Simpson, Amber",Amber,Simpson,female,Journal of Science Education and Technology,2017,1186,journal
"Reece, Amber",Amber,Reece,female,Journal of College Student Retention-Research Theory & Practice,2016,1051,journal
"Villasenor, Amelia",Amelia,Villasenor,female,American Journal of Physical Anthropology,2018,1310,journal
"Villablanca, Amparo",Amparo,Villablanca,female,Journal of Women's Health,2011,1308,journal
"Williams, Amy",Amy,Williams,female,Sex Roles,2012,1365,journal
"Justice, Amy",Amy,Justice,female,Academic Medicine,2018,642,journal
"Hietapelto, Amy",Amy,Hietapelto,female,Change,2013,544,journal
"Dawson, Amy",Amy,Dawson,female,New Directions for Higher Education,2015,309,journal
"Hillard, Amy",Amy,Hillard,female,Social Psychology of Education,2014,547,journal
"Bergerson, Amy",Amy,Bergerson,female,Journal of Career Assessment,2013,107,journal
"Graves, Amy",Amy,Graves,female,Journal of Women and Minorities in Science and Engineering,2017,482,journal
"Vila-Concejo, Ana",Ana,Vila-Concejo,female,Palgrave Communications,2018,1307,journal
"Gonzalez Ramos, Ana",Ana,Gonzalez Ramos,female,Journal of Organisational Transformation and Social Change,2017,476,journal
"Desai, Anand",Anand,Desai,male,Innovative Higher Education,2015,1546,journal
"Keck, Andrea",Andrea,Keck,female,Journal of Educational Research,2014,663,journal
"Gomoll, Andrea",Andrea,Gomoll,female,Journal of Science Education and Technology,2016,474,journal
"Taylor, Andrea",Andrea,Taylor,female,American Journal of Physical Anthropology,2018,1265,journal
"Frei, Andrea Keck",Andrea Keck,Frei,NA,Journal of Educational Research,2014,421,journal
"Cimpian, Andrei",Andrei,Cimpian,male,Frontiers in Psychology,2015,1519,journal
"Cimpian, Andrei",Andrei,Cimpian,male,Science,2014,1520,journal
"Meltzoff, Andrew",Andrew,Meltzoff,male,Frontiers in psychology,2015,1740,journal
"Meltzoff, Andrew",Andrew,Meltzoff,male,Journal of educational psychology,2016,1742,journal
"Meltzoff, Andrew",Andrew,Meltzoff,male,Journal of experimental child psychology,2017,1743,journal
"Meltzoff, Andrew",Andrew,Meltzoff,male,International Review of Social Psychology,2014,1741,journal
"Penner, Andrew",Andrew,Penner,male,Social Sciences,2017,1787,journal
"Hickok, Andrew",Andrew,Hickok,male,Journal of Medical Internet Research,2013,1642,journal
"Molenda, Aneta",Aneta,Molenda,female,Psychology of Women Quarterly,2015,882,journal
"Gonzalez, Angel",Angel,Gonzalez,male,Journal of Social Issues,2011,1603,journal
"Ingraham, Angela",Angela,Ingraham,female,Journal of Medical Internet Research,2018,586,journal
"Kelly, Angela",Angela,Kelly,female,Physical Review Physics Education Research,2016,668,journal
"Byars-Winston, Angela",Angela,Byars-Winston,female,Career Development Quarterly,2014,185,journal
"Kelly, Angela",Angela,Kelly,female,Journal of Women and Minorities in Science and Engineering,2018,667,journal
"Carbone, Angela",Angela,Carbone,female,Computer Science Education,2010,196,journal
"Hodge, Angie",Angie,Hodge,female,International Review of Qualitative Research,2012,551,journal
"Patrick, Anita",Anita,Patrick,female,Journal of Women and Minorities in Science and Engineering,2017,987,journal
"Woolley, Anita",Anita,Woolley,female,Interdisciplinary Science Reviews,2011,1389,journal
"Burnett, Ann",Ann,Burnett,female,Journal of Women and Minorities in Science and Engineering,2012,176,journal
"Kim, Ann",Ann,Kim,female,Review of Educational Research,2018,683,journal
"Beutel, Ann",Ann,Beutel,female,Gender Issues,2018,118,journal
"Austin, Ann",Ann,Austin,female,Change,2015,51,journal
"May, Ann Mari.",Ann Mari.,May,NA,Review of Regional Studies,2017,822,journal
"Krieg, Anna",Anna,Krieg,female,PLoS ONE,2018,703,journal
"Young, Anna",Anna,Young,female,International Journal of Science Education,2018,1417,journal
"Woodcock, Anna",Anna,Woodcock,female,Journal of educational psychology,2013,1385,journal
"Conti, Annamaria",Annamaria,Conti,female,PLoS ONE,2015,259,journal
"Lincoln, Anne",Anne,Lincoln,female,Social Forces,2010,740,journal
"Kato, Anne",Anne,Kato,female,Industrial and Organizational Psychology,2018,659,journal
"Preston, Anne",Anne,Preston,female,Journal of Economic Behavior & Organization,2012,1028,journal
"Rinn, Anne",Anne,Rinn,female,Journal of Women and Minorities in Science and Engineering,2017,1071,journal
"Mills, Anne",Anne,Mills,female,Journal of Medical Internet Research,2018,871,journal
"McDaniel, Anne",Anne,McDaniel,female,European Sociological Review,2016,828,journal
"Metz, Anneke",Anneke,Metz,female,Cultural diversity & ethnic minority psychology,2014,855,journal
"Martin, Annette",Annette,Martin,female,PLoS ONE,2018,802,journal
"Smeding, Annique",Annique,Smeding,NA,Sex Roles,2012,1195,journal
"Carpi, Anthony",Anthony,Carpi,male,Journal of Research in Science Teaching,2017,1498,journal
"Yamanaka, Aoi",Aoi,Yamanaka,female,Community College Journal of Research & Practice,2016,1406,journal
"Hodari, Apriel",Apriel,Hodari,NA,Journal of Diversity in Higher Education,2015,550,journal
"Ortiz, Araceli",Araceli,Ortiz,female,International Journal of STEM Education,2017,954,journal
"Martinez Ortiz, Araceli",Araceli,Martinez Ortiz,female,American Journal of Engineering Education,2015,805,journal
"Young, Ariana",Ariana,Young,female,Personality and Social Psychology Bulletin,2011,1419,journal
"Vasquez, Ariana",Ariana,Vasquez,female,Science Education,2018,1298,journal
"Young, Ariana",Ariana,Young,female,Journal of Applied Social Psychology,2016,1418,journal
"Bejerano, Arleen",Arleen,Bejerano,female,Journal of Women and Minorities in Science and Engineering,2015,91,journal
"Senas, Arleen",Arleen,Senas,female,Community College Journal of Research & Practice,2012,1160,journal
"Agloro, Ashley",Ashley,Agloro,female,PLoS ONE,2018,11,journal
"Carroll, Ashley",Ashley,Carroll,female,Career Development Quarterly,2014,201,journal
"Wagner, Ashley",Ashley,Wagner,female,Journal of Research in Science Teaching,2016,1315,journal
"D'Inverno, Ashley",Ashley,D'Inverno,female,Journal of Womens Health,2016,337,journal
"Higgins, Ashley",Ashley,Higgins,female,Psychology of Women Quarterly,2013,545,journal
"June, Audrey",Audrey,June,female,Chronicle of Higher Education,2016,641,journal
"Jaeger, Audrey",Audrey,Jaeger,female,Review of Higher Education,2017,609,journal
"Kollasch, Aurelia",Aurelia,Kollasch,female,Community College Journal of Research & Practice,2017,697,journal
"Pickup, Austin",Austin,Pickup,male,Educational Studies,2017,1791,journal
"Ahmed, Awad",Awad,Ahmed,male,Advances in Radiation Oncology,2018,1449,journal
"Scheim, Ayden",Ayden,Scheim,male,BMC Public Health,2015,1833,journal
"Khan, Ayesha",Ayesha,Khan,female,Journal of Medical Internet Research,2018,679,journal
"Borden, B. Ann",B. Ann,Borden,NA,Gender Issues,2018,139,journal
"Fosdick, Bailey",Bailey,Fosdick,female,PLoS ONE,2016,409,journal
"King, Barbara",Barbara,King,female,American Educational Research Journal,2012,687,journal
"Schneider, Barbara",Barbara,Schneider,female,Developmental psychology,2012,1148,journal
"Schneider, Barbara",Barbara,Schneider,female,Frontiers in Psychology,2017,1149,journal
"King, Barbara",Barbara,King,female,Educational Researcher,2010,688,journal
"Kerr, Barbara",Barbara,Kerr,female,Journal of Psychoeducational Assessment,2012,675,journal
"King, Barbara",Barbara,King,female,Sex Roles,2016,689,journal
"Means, Barbara",Barbara,Means,female,Journal of Research in Science Teaching,2016,845,journal
"Grosz, Barbara",Barbara,Grosz,female,Cell Stem Cell,2015,492,journal
"Salmon, Barrington",Barrington,Salmon,male,Chronicle of Higher Education,2016,1832,journal
"Bozeman, Barry",Barry,Bozeman,male,Higher Education,2015,1483,journal
"Bozeman, Barry",Barry,Bozeman,male,Research in Higher Education,2016,1484,journal
"Francis, Becky",Becky,Francis,female,Sex Roles,2017,417,journal
"Francis, Becky",Becky,Francis,female,American Educational Research Journal,2017,416,journal
"Packard, Becky",Becky,Packard,female,Journal of Women and Minorities in Science and Engineering,2011,964,journal
"Packard, Becky",Becky,Packard,female,Community College Journal of Research & Practice,2012,962,journal
