source,target,weight
896,1614,1
332,1614,1
1251,1645,1
1251,1727,1
560,1624,1
1408,1607,1
426,1793,1
63,1629,1
536,1642,1
536,1666,1
1294,1777,1
1012,1684,1
1314,1841,1
158,1708,1
481,1802,1
439,1730,1
132,1629,1
796,1817,1
1451,1607,1
577,1823,1
1406,1716,1
35,1624,1
142,1699,1
1112,1636,1
449,1621,1
58,1651,1
1260,1691,1
1053,1775,1
16,1610,1
225,1735,1
830,1740,1
980,1805,1
1086,1691,1
1267,1611,1
1062,1619,1
671,1624,1
671,1672,1
511,1750,1
511,1739,1
511,1697,1
1089,1624,1
319,1747,1
399,1714,1
954,1609,1
954,1836,1
1319,1624,1
632,1719,1
778,1616,1
1175,1663,1
201,1609,1
555,1817,1
65,1658,1
974,1701,1
974,1662,1
33,1636,1
691,1625,1
1221,1705,2
1055,1691,1
1055,1609,1
1138,1770,1
4,1608,1
1325,1720,1
650,1749,1
1416,1610,1
207,1729,1
107,1664,1
957,1606,1
398,1624,1
523,1772,1
1520,1610,1
495,1772,1
533,1629,1
311,1610,1
1005,1624,1
1005,1672,1
248,1745,1
1084,1736,1
849,1859,1
1264,1624,1
613,1667,1
292,1607,1
292,1629,2
1577,1610,1
1366,1711,1
1366,1662,1
1366,1614,1
1327,1649,1
1327,1648,1
529,1813,1
307,1705,1
1468,1819,1
988,1629,1
1279,1629,1
1136,1772,1
1151,1610,1
1466,1619,1
709,1617,1
709,1662,3
1273,1676,1
1530,1609,1
1289,1609,1
1098,1684,1
668,1609,1
668,1836,1
548,1700,1
1197,1885,1
740,1674,1
1103,1675,1
770,1680,1
1088,1666,1
915,1661,1
781,1637,1
722,1616,1
1003,1645,1
1420,1662,1
129,1609,1
1526,1608,1
667,1667,1
667,1665,1
17,1622,1
17,1623,2
909,1828,1
1282,1633,1
1282,1691,1
694,1629,1
704,1625,1
960,1614,1
983,1787,1
599,1812,1
353,1705,1
1507,1621,1
747,1847,1
963,1802,1
77,1667,1
730,1691,1
971,1830,1
504,1806,1
1011,1867,1
1011,1876,1
171,1667,1
171,1665,1
171,1614,1
1318,1608,1
1429,1671,1
378,1666,1
1179,1667,1
105,1682,1
1390,1624,1
1483,1900,1
1350,1813,1
204,1609,1
379,1778,1
379,1619,2
331,1699,1
537,1815,1
569,1820,1
739,1835,1
921,1691,1
1051,1800,1
1051,1614,1
418,1741,1
1445,1675,1
227,1736,1
44,1642,1
193,1629,1
106,1679,1
352,1772,1
352,1610,1
697,1841,1
1015,1784,1
866,1861,1
145,1682,1
507,1667,1
1083,1624,1
1554,1797,1
1554,1609,1
452,1643,1
665,1625,1
546,1726,1
1044,1657,1
832,1619,1
40,1610,1
1248,1806,1
309,1756,1
918,1867,1
1166,1882,1
154,1706,1
154,1643,1
1394,1624,1
182,1721,1
1324,1624,1
656,1725,1
238,1741,1
1250,1647,1
1547,1757,1
808,1697,1
453,1768,1
923,1662,1
897,1705,1
347,1626,1
280,1748,1
419,1656,1
419,1622,1
419,1755,1
419,1652,1
863,1619,1
1354,1676,1
1354,1629,2
1285,1607,1
799,1651,1
873,1863,1
1202,1625,1
1164,1624,3
683,1609,1
1450,1682,1
1450,1897,1
1246,1647,1
103,1609,1
1104,1629,1
1293,1610,1
279,1671,1
822,1778,1
822,1619,2
1223,1609,1
1223,1836,1
97,1677,1
705,1670,1
1026,1614,1
1143,1617,1
639,1629,1
250,1727,1
1189,1662,1
1146,1741,1
657,1645,1
1426,1769,1
1074,1684,1
1074,1612,1
625,1734,1
485,1803,1
181,1609,1
861,1617,2
98,1605,1
658,1677,1
122,1689,1
1383,1832,1
301,1691,1
301,1753,1
301,1609,1
133,1677,1
23,1629,1
1485,1624,1
167,1714,1
169,1662,1
1528,1667,1
1471,1718,1
185,1619,1
469,1800,1
469,1723,1
469,1642,1
469,1722,1
834,1714,1
1453,1898,1
1453,1646,1
1453,1619,1
1453,1638,1
1453,1755,1
1453,1785,1
1309,1802,1
358,1650,1
474,1619,1
584,1619,1
1275,1645,1
547,1816,1
1150,1706,1
1560,1617,1
1170,1705,1
269,1699,1
855,1662,1
1016,1614,1
929,1648,1
929,1691,1
1486,1797,1
1045,1789,1
1045,1675,1
326,1624,1
610,1828,1
956,1858,1
1217,1750,1
1591,1690,1
1352,1646,1
1352,1644,1
1352,1645,1
1352,1615,1
1352,1654,1
1352,1709,1
1352,1625,1
1352,1662,1
1352,1710,1
1183,1813,1
57,1650,1
1393,1717,1
1186,1624,1
1298,1808,1
1298,1610,1
1459,1734,1
89,1619,1
89,1673,1
742,1701,1
951,1639,1
827,1624,1
827,1672,1
437,1656,1
437,1622,1
437,1652,1
437,1623,1
1317,1719,1
1411,1636,1
838,1858,1
928,1672,1
1349,1629,1
18,1624,1
932,1720,1
621,1717,1
1452,1624,1
517,1625,1
1418,1624,1
215,1732,1
1518,1612,1
306,1662,1
404,1610,1
1540,1747,1
1039,1636,1
36,1610,1
782,1627,1
112,1629,1
817,1620,1
817,1621,1
749,1632,1
810,1629,1
299,1625,1
429,1794,1
1409,1640,1
940,1625,1
1220,1614,1
1388,1607,1
1388,1629,2
447,1796,1
1467,1899,1
251,1625,1
659,1608,1
366,1774,1
367,1624,1
1492,1619,1
675,1684,1
1302,1828,1
56,1629,1
660,1730,1
660,1672,1
498,1789,1
498,1675,1
848,1624,1
848,1672,1
43,1629,1
693,1840,1
936,1624,1
1070,1736,1
698,1714,1
165,1713,1
1094,1749,1
1068,1880,1
135,1695,1
1157,1750,1
818,1613,1
818,1609,1
1106,1660,1
1290,1639,2
572,1821,1
1337,1626,1
1377,1810,1
500,1804,1
1119,1692,1
678,1610,1
763,1644,1
1207,1656,1
1207,1755,2
1207,1614,1
480,1801,1
1529,1905,1
389,1749,1
486,1616,1
981,1624,1
1284,1888,1
1517,1770,1
1033,1801,1
342,1767,1
75,1665,1
374,1772,1
291,1749,1
454,1677,1
454,1667,1
454,1772,1
231,1624,1
689,1838,1
689,1842,1
689,1619,1
1169,1621,1
856,1761,1
600,1651,1
425,1624,1
425,1672,1
287,1624,1
1494,1755,1
1205,1643,1
1032,1772,1
82,1670,1
315,1699,1
653,1662,1
682,1701,1
1020,1624,1
604,1609,1
1226,1740,1
1361,1880,1
1177,1624,1
59,1619,1
59,1656,1
59,1653,1
59,1622,1
59,1652,1
59,1623,2
59,1614,1
1389,1809,1
891,1772,1
1513,1647,1
786,1624,1
1242,1610,1
472,1636,1
582,1768,1
208,1669,1
1292,1684,1
370,1659,1
562,1624,1
724,1757,1
3,1607,1
28,1614,1
195,1614,1
681,1636,1
1211,1643,1
159,1709,1
159,1625,1
159,1710,1
1570,1621,1
737,1805,1
727,1844,1
239,1705,1
1370,1662,1
179,1720,1
847,1611,1
1126,1795,1
1272,1629,1
267,1636,1
875,1639,1
38,1638,1
363,1759,1
1231,1694,1
942,1636,1
614,1829,1
614,1736,1
614,1652,1
1369,1676,1
1369,1629,1
1556,1906,1
1472,1768,1
906,1606,1
1330,1892,1
864,1705,1
757,1662,1
1007,1735,1
1159,1625,1
177,1629,1
692,1629,1
1038,1877,1
1201,1625,1
1374,1608,1
1034,1727,1
846,1734,1
232,1662,2
373,1777,1
20,1626,1
938,1848,1
163,1619,1
1431,1705,1
966,1731,2
712,1684,1
976,1651,1
1129,1645,1
369,1776,1
997,1636,1
1304,1655,1
1185,1614,1
203,1610,1
1140,1714,1
526,1812,1
1428,1812,1
563,1689,1
1206,1667,1
825,1674,1
1139,1862,1
985,1873,1
1345,1769,1
877,1844,1
699,1613,1
1335,1830,1
1050,1867,1
1050,1876,1
211,1614,1
1171,1725,1
243,1617,1
964,1610,1
1210,1625,1
443,1629,1
1048,1666,1
1446,1896,1
1061,1617,1
188,1714,1
535,1814,1
961,1617,1
51,1648,1
52,1649,1
903,1756,1
1339,1734,1
245,1611,1
512,1730,1
720,1663,1
146,1629,1
1535,1705,1
1004,1624,1
1173,1667,1
1173,1617,2
1065,1810,1
1078,1775,1
155,1701,1
155,1662,1
1076,1610,1
798,1853,1
407,1673,1
652,1612,1
874,1761,1
1384,1760,1
1407,1624,1
88,1671,1
578,1798,1
629,1655,1
649,1624,1
1182,1704,1
413,1705,1
1114,1619,1
1114,1653,1
320,1667,1
946,1826,1
633,1690,1
633,1609,2
1387,1636,1
1400,1651,1
302,1701,1
948,1771,1
394,1642,1
394,1666,1
1561,1614,1
30,1614,1
644,1750,1
1397,1643,1
1069,1643,1
661,1624,1
570,1807,1
1162,1799,1
1230,1874,1
753,1750,1
753,1739,1
753,1614,1
351,1652,1
579,1733,1
178,1719,1
324,1647,1
324,1762,1
911,1624,1
228,1715,1
228,1737,1
228,1609,1
228,1659,1
228,1738,1
229,1701,1
1253,1691,1
1144,1660,1
759,1629,1
1225,1666,1
1199,1684,1
1108,1610,1
690,1839,1
716,1724,1
392,1646,1
392,1785,1
1449,1686,1
329,1614,1
286,1691,1
669,1685,1
669,1647,1
925,1705,1
1247,1635,1
1322,1891,1
415,1629,1
47,1609,1
47,1614,1
701,1840,1
448,1659,1
1438,1664,1
931,1868,1
86,1610,1
