author,id.x,position,fname,lastn,gender,pubtitle,date,id.y
"Abraham-Hilaire, Latecia",324,3,Latecia,Abraham-Hilaire,NA,Social Sciences,2018,3
"Abraham, Danielle",325,5,Danielle,Abraham,female,Social Sciences,2017,2
"Ackerman, Phillip",47,1,Phillip,Ackerman,male,Journal of educational psychology,2013,1440
"Ackerman, Phillip",47,1,Phillip,Ackerman,male,Teachers College Record,2013,1441
"Ackerman, Phillip",147,1,Phillip,Ackerman,male,Journal of educational psychology,2013,1440
"Ackerman, Phillip",147,1,Phillip,Ackerman,male,Teachers College Record,2013,1441
"Ackler, Harold",92,2,Harold,Ackler,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2018,1442
"Adamo, Shelley",348,1,Shelley,Adamo,female,BioScience,2013,4
"Adamowicz, Elizabeth",354,1,Elizabeth,Adamowicz,female,FEMS microbiology letters,2017,5
"Adams, Amanda",374,4,Amanda,Adams,female,PLoS ONE,2017,6
"Adams, Glenn",29,3,Glenn,Adams,male,Cultural diversity & ethnic minority psychology,2014,1443
"Adams, Glenn",29,3,Glenn,Adams,male,Social Psychology of Education,2015,1444
"Adams, Glenn",598,3,Glenn,Adams,male,Cultural diversity & ethnic minority psychology,2014,1443
"Adams, Glenn",598,3,Glenn,Adams,male,Social Psychology of Education,2015,1444
"Adams, Renee",21,1,Renee,Adams,female,American Economic Review,2016,7
"Adamuti-Trache, Maria",405,1,Maria,Adamuti-Trache,female,International Journal of Science Education,2014,8
"Adelman, Robert",366,2,Robert,Adelman,male,Basic & Applied Social Psychology,2016,1445
"Aeschlimann, Belinda",528,2,Belinda,Aeschlimann,female,Empirical Research in Vocational Education and Training,2016,9
"Afari, Ernest",537,2,Ernest,Afari,male,International Journal of Science and Mathematics Education,2016,1446
"Agbenyega, Emily",157,6,Emily,Agbenyega,female,Contemporary Educational Psychology,2013,10
"Aguar, Karen",19,1,Karen,Aguar,female,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",2017,12
"Aguillon, Stephanie",350,2,Stephanie,Aguillon,female,BioScience,2018,13
"Ahlqvist, Sheana",482,1,Sheana,Ahlqvist,NA,Psychological science,2013,14
"Ahmad, Ali",79,1,Ali,Ahmad,male,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,1448
"Ahmed, Awad",149,6,Awad,Ahmed,male,Advances in Radiation Oncology,2018,1449
"Aikens, Melissa",56,1,Melissa,Aikens,female,CBE Life Sciences Education,2017,15
"Aitkin, Emma",153,3,Emma,Aitkin,female,Computers & Education,2018,16
"Alegria-Arzaburu, Amaia Ruiz de",520,10,Amaia Ruiz de,Alegria-Arzaburu,NA,Palgrave Communications,2018,17
"Alexander, Quentin",37,1,Quentin,Alexander,male,Journal of Diversity in Higher Education,2016,1450
"Alfred, Mary",256,2,Mary,Alfred,female,Journal of STEM Education : Innovations and Research,2014,18
"Aliyeva, Aida",554,4,Aida,Aliyeva,female,Journal of Science Education and Technology,2017,19
"Allen, Carrie",419,1,Carrie,Allen,female,Journal of the Learning Sciences,2017,20
"Aloisio, Kathryn",59,2,Kathryn,Aloisio,female,Cell Biology Education,2017,21
"Amechi, Mauriell",40,5,Mauriell,Amechi,NA,Journal of Diversity in Higher Education,2014,22
"Amey, Rachel",358,2,Rachel,Amey,female,Social Cognitive and Affective Neuroscience,2018,23
"Amon, Mary",232,1,Mary,Amon,female,Frontiers in Psychology,2017,24
"Amos, Jennifer",89,5,Jennifer,Amos,female,Proceedings of the ASEE Annual Conference & Exposition,2018,26
"Amos, Jennifer",89,5,Jennifer,Amos,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,25
"Amos, Jennifer",97,3,Jennifer,Amos,female,Proceedings of the ASEE Annual Conference & Exposition,2018,26
"Amos, Jennifer",97,3,Jennifer,Amos,female,"ASEE Annual Conference and Exposition, Conference Proceedings",2017,25
"Ampaw, Frim",607,4,Frim,Ampaw,NA,Journal of Higher Education,2014,27
"Ampaw, Frim",607,4,Frim,Ampaw,NA,New Directions for Institutional Research,2011,28
"Ampaw, Frim",607,4,Frim,Ampaw,NA,Review of Higher Education,2017,29
"Ampaw, Frim",304,2,Frim,Ampaw,NA,Journal of Higher Education,2014,27
"Ampaw, Frim",304,2,Frim,Ampaw,NA,New Directions for Institutional Research,2011,28
"Ampaw, Frim",304,2,Frim,Ampaw,NA,Review of Higher Education,2017,29
"Ampaw, Frim",416,2,Frim,Ampaw,NA,Journal of Higher Education,2014,27
"Ampaw, Frim",416,2,Frim,Ampaw,NA,New Directions for Institutional Research,2011,28
"Ampaw, Frim",416,2,Frim,Ampaw,NA,Review of Higher Education,2017,29
"Anderson, Cynthia",212,1,Cynthia,Anderson,female,Advances in Gender Research,2014,31
"Anderson, Lindsey",469,3,Lindsey,Anderson,female,Journal of Women and Minorities in Science and Engineering,2018,32
"Anderson, Lindsey",469,3,Lindsey,Anderson,female,Management Communication Quarterly,2015,33
"Anderson, Lindsey",122,6,Lindsey,Anderson,female,Journal of Women and Minorities in Science and Engineering,2018,32
"Anderson, Lindsey",122,6,Lindsey,Anderson,female,Management Communication Quarterly,2015,33
"Andrews, Jane",144,1,Jane,Andrews,female,International Journal of Engineering Education,2016,35
"Angle, Julie",294,2,Julie,Angle,female,School Science and Mathematics,2016,36
"Angoff, Nancy",111,2,Nancy,Angoff,female,Academic Medicine,2018,37
"Anicha, Cali",117,4,Cali,Anicha,female,Journal of Women and Minorities in Science and Engineering,2012,38
"Arabnia, Hamid",19,2,Hamid,Arabnia,male,"Proceedings - 2016 International Conference on Computational Science and Computational Intelligence, CSCI 2016",2017,1453
"Aragon, Amanda",61,1,Amanda,Aragon,female,Photogrammetric Engineering & Remote Sensing,2017,39
"Archer, Louise",436,1,Louise,Archer,female,Sex Roles,2017,41
"Archer, Louise",436,1,Louise,Archer,female,American Educational Research Journal,2017,40
"Archer, Louise",585,2,Louise,Archer,female,Sex Roles,2017,41
"Archer, Louise",585,2,Louise,Archer,female,American Educational Research Journal,2017,40
"Ardissone, Alexandria",54,3,Alexandria,Ardissone,female,CBE Life Sciences Education,2016,42
"Arizaga, Jessica",495,2,Jessica,Arizaga,female,Psychology of Women Quarterly,2013,43
"Arlotta, Paola",136,4,Paola,Arlotta,female,Cell Stem Cell,2015,45
"Arlotta, Paola",136,4,Paola,Arlotta,female,Cell Stem Cell,2015,44
"Arlotta, Paola",136,2,Paola,Arlotta,female,Cell Stem Cell,2015,45
"Arlotta, Paola",136,2,Paola,Arlotta,female,Cell Stem Cell,2015,44
"Armstrong, Mary",43,1,Mary,Armstrong,female,Journal of Women and Minorities in Science and Engineering,2015,47
"Armstrong, Mary",43,1,Mary,Armstrong,female,Journal of Diversity in Higher Education,2017,46
"Armstrong, Mary",125,1,Mary,Armstrong,female,Journal of Women and Minorities in Science and Engineering,2015,47
"Armstrong, Mary",125,1,Mary,Armstrong,female,Journal of Diversity in Higher Education,2017,46
"Arnold, Michael",60,1,Michael,Arnold,male,Horttechnology,2014,1454
"Asangba, Abigail",277,4,Abigail,Asangba,female,American Journal of Physical Anthropology,2018,48
"Ash, Ronald",174,2,Ronald,Ash,male,Journal of Economic Psychology,2008,1455
"Ashby, Jeffrey",33,5,Jeffrey,Ashby,male,Journal of Counseling Psychology,2015,1456
"Ashford, Shetay",553,1,Shetay,Ashford,NA,Journal of Science Education and Technology,2016,49
"Astorne-Figari, Carmen",160,1,Carmen,Astorne-Figari,female,Economics Letters,2018,50
"Austin, Ann",382,2,Ann,Austin,female,Change,2015,51
