source,target,weight
36,1738,1
939,1867,1
945,1867,1
315,1760,1
1063,1898,1
77,1744,1
77,2004,1
1032,1893,1
1453,1987,1
1474,1991,1
518,1790,1
1083,1898,1
994,1879,1
485,1786,1
501,1788,1
1433,1980,1
757,1836,1
1523,1995,1
201,1754,1
1046,1895,1
126,1748,1
1014,1886,1
308,1760,1
308,1761,1
1185,1919,1
892,1861,1
892,2010,1
276,1760,1
1250,1941,1
396,1774,1
396,1950,1
263,1760,1
874,1856,1
359,1772,1
380,1774,1
43,1739,1
1597,2002,1
181,1753,1
1360,1958,1
430,1777,2
815,1850,1
553,1800,1
96,1747,1
1108,1900,1
317,1760,1
1286,1946,1
1521,1995,1
1281,1946,1
1084,1898,1
1497,1995,1
244,1760,1
244,1761,1
588,1804,1
277,1760,1
1271,1945,1
1076,1898,1
1136,1907,1
676,1821,1
1449,1985,1
432,1777,1
619,1808,1
1085,1898,1
1062,1898,1
1274,1946,1
1513,1995,1
705,1826,1
583,1803,1
66,1742,1
390,1774,1
369,1774,1
1160,1915,1
395,1774,1
395,1950,1
811,1849,1
1714,2030,1
963,1870,1
150,1749,1
1605,2002,1
816,1850,1
888,1945,1
888,1860,1
1317,1953,1
1317,2033,2
668,1820,1
109,1880,1
109,1748,1
1053,1898,1
1358,1958,1
932,1867,1
1118,1902,1
433,1777,1
1671,2018,1
1266,1945,1
125,1748,1
11,1885,1
11,1734,1
887,1945,1
887,1860,1
887,1867,1
813,1850,1
1165,1917,1
1627,2004,1
1262,1945,1
240,1760,1
1450,1985,1
378,1774,1
663,1818,1
663,1826,2
484,1786,1
881,1859,1
1486,1994,1
1022,1888,1
76,1744,1
1061,1898,1
1512,1995,1
1033,1893,1
347,1768,1
1459,1989,1
1261,1945,1
231,1760,1
1551,2000,1
1347,1958,1
793,1847,1
1495,1995,1
1048,1896,1
1376,1961,1
1012,1885,1
1464,1990,1
1464,2000,1
301,1760,1
1699,2019,1
653,1816,1
160,1750,1
1656,2010,1
1570,2002,1
434,1777,1
681,1824,1
166,1751,1
166,1953,1
166,1872,1
166,1955,1
711,1826,1
57,1742,1
57,1898,2
