id,label,type
1,"O'Donnell, Christine",author_NA
2," Cunningham, Beth",author_NA
3,"Purcell, Bernice M.",author_NA
4,"Neilsen, Tracianne B.",author_NA
5,"Hoffman, Sarah F.",author_NA
6," Friedman, Hershey H.",author_NA
7,"Williams, Joan C.",author_NA
8," Phillips, Katherine W.",author_NA
9," Hall, Erika V.",author_NA
10,"Feeney, Mary K.",author_NA
11," Bernal, Margarita",author_NA
12,"Chumbley, Steven B.",author_NA
13," Haynes, J. Chris",author_NA
14," Stofer, Kathryn A.",author_NA
15,"Enns, Kellie J.",author_NA
16," Martin, Michael J.",author_NA
17,"Kleihauer, Sarah",author_NA
18," Stephens, Carrie",author_NA
19," Hart, William",author_NA
20," Stripling, Christopher",author_NA
21,"Foor, Ryan M.",author_NA
22," Cano, Jamie",author_NA
23,"Leslie, Sarah-Jane",author_NA
24," Cimpian, Andrei",author_NA
25," Meyer, Meredith",author_NA
26," Freeland, Edward",author_NA
27,"Mervis, Jeffrey",author_NA
28,"Rosser, Sue V.",author_NA
29," Taylor, Mark Z.",author_NA
30,"Colatrella, Carol",author_NA
31,"Harsh, Joseph A.",author_NA
32," Maltese, Adam V.",author_NA
33," Tai, Robert H.",author_NA
34,"Wilson, Zakiya S.",author_NA
35," McGuire, Saundra Y.",author_NA
36," A, Patrick Limbach",author_NA
37," Marzilli, Luigi G.",author_NA
38," Warner, Isiah M.",author_NA
39,"Dabney, Katherine P.",author_NA
40,"Shedlosky-Shoemaker, Randi",author_NA
41," Fautch, Jessica M.",author_NA
42,"Aguar, Karen",author_NA
43," Arabnia, Hamid R.",author_NA
44," Gutierrez, Juan B.",author_NA
45," Potter, Walter D.",author_NA
46," Taha, Thiab R.",author_NA
47,"Bagde, Surendrakumar",author_NA
48," Epple, Dennis",author_NA
49," Taylor, Lowell",author_NA
50,"Adams, Renee B.",author_NA
51," Kirchmaier, Tom",author_NA
52,"Avallone, Linnea M.",author_NA
53," Hallar, A. Gannet",author_NA
54," Thiry, Heather",author_NA
55," Edwards, Laura M.",author_NA
56,"Eddy, Sarah L.",author_NA
57," Brownell, Sara E.",author_NA
58,"Koul, Ravinder",author_NA
59," Lerdpornkulrat, Thanita",author_NA
60," Poondej, Chanut",author_NA
61,"Nissen, Jayson M.",author_NA
62," Shemwell, Jonathan T.",author_NA
63,"Kelly, Angela M.",author_NA
64,"Sax, Linda J.",author_NA
65," Lehman, Kathleen J.",author_NA
66," Barthelemy, Ramón S.",author_NA
67," Lim, Gloria",author_NA
